n_episode : 150, Total Frames : 9004, Average Score : 166.9, Episode Score : 440.0, Best Score : 1020.0, n_buffer : 9004, eps : 91.6%
n_episode : 151, Total Frames : 9055, Average Score : 166.6, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 9055, eps : 91.5%
n_episode : 152, Total Frames : 9120, Average Score : 166.4, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 9120, eps : 91.4%
n_episode : 153, Total Frames : 9139, Average Score : 165.4, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 9139, eps : 91.4%
n_episode : 154, Total Frames : 9256, Average Score : 166.8, Episode Score : 380.0, Best Score : 1020.0, n_buffer : 9256, eps : 91.4%
n_episode : 155, Total Frames : 9296, Average Score : 166.2, Episode Score : 70.0, Best Score : 1020.0, n_buffer : 9296, eps : 91.2%
n_episode : 156, Total Frames : 9349, Average Score : 165.3, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 9349, eps : 91.2%
n_episode : 157, Total Frames : 9415, Average Score : 165.2, Episode Score : 160.0, Best Score : 1020.0, n_buffer : 9415, eps : 91.2%
n_episode : 158, Total Frames : 9533, Average Score : 166.4, Episode Score : 350.0, Best Score : 1020.0, n_buffer : 9533, eps : 91.1%
n_episode : 159, Total Frames : 9566, Average Score : 165.5, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 9566, eps : 91.0%
n_episode : 160, Total Frames : 9627, Average Score : 165.6, Episode Score : 190.0, Best Score : 1020.0, n_buffer : 9627, eps : 91.0%
n_episode : 161, Total Frames : 9646, Average Score : 164.8, Episode Score : 30.0, Best Score : 1020.0, n_buffer : 9646, eps : 90.9%
n_episode : 162, Total Frames : 9758, Average Score : 166.9, Episode Score : 500.0, Best Score : 1020.0, n_buffer : 9758, eps : 90.9%
n_episode : 163, Total Frames : 9821, Average Score : 166.6, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 9821, eps : 90.8%
n_episode : 164, Total Frames : 9867, Average Score : 166.3, Episode Score : 110.0, Best Score : 1020.0, n_buffer : 9867, eps : 90.7%
n_episode : 165, Total Frames : 9881, Average Score : 165.4, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 9881, eps : 90.7%
n_episode : 166, Total Frames : 9941, Average Score : 165.3, Episode Score : 150.0, Best Score : 1020.0, n_buffer : 9941, eps : 90.7%
n_episode : 167, Total Frames : 10004, Average Score : 164.9, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 10004, eps : 90.6%
n_episode : 168, Total Frames : 10087, Average Score : 164.8, Episode Score : 160.0, Best Score : 1020.0, n_buffer : 10087, eps : 90.6%
n_episode : 169, Total Frames : 10196, Average Score : 165.9, Episode Score : 340.0, Best Score : 1020.0, n_buffer : 10196, eps : 90.5%
n_episode : 170, Total Frames : 10303, Average Score : 166.8, Episode Score : 330.0, Best Score : 1020.0, n_buffer : 10303, eps : 90.4%
n_episode : 171, Total Frames : 10361, Average Score : 166.4, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 10361, eps : 90.3%
n_episode : 172, Total Frames : 10425, Average Score : 166.5, Episode Score : 180.0, Best Score : 1020.0, n_buffer : 10425, eps : 90.3%
n_episode : 173, Total Frames : 10483, Average Score : 166.0, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 10483, eps : 90.2%
n_episode : 174, Total Frames : 10516, Average Score : 165.6, Episode Score : 100.0, Best Score : 1020.0, n_buffer : 10516, eps : 90.1%
n_episode : 175, Total Frames : 10573, Average Score : 165.2, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 10573, eps : 90.1%
n_episode : 176, Total Frames : 10679, Average Score : 167.3, Episode Score : 530.0, Best Score : 1020.0, n_buffer : 10679, eps : 90.1%
n_episode : 177, Total Frames : 10737, Average Score : 166.8, Episode Score : 80.0, Best Score : 1020.0, n_buffer : 10737, eps : 90.0%
n_episode : 178, Total Frames : 10785, Average Score : 166.5, Episode Score : 110.0, Best Score : 1020.0, n_buffer : 10785, eps : 89.9%
